# {"t_start": 1665108357.7770932, "env_id": "MultiAgent-v0"} 
r,l,t,s,r0,r1,r2
-193.67075574233803,100,968.41343,0.0,-193.67075574233803,0.0,0.0
-177.28281570596118,100,969.520705,0.0,-177.28281570596118,0.0,0.0
-187.42193328923545,100,970.6134,0.0,-185.42193328923545,-2.0,0.0
-134.86791646986035,100,1000.871221,0.0,-134.86791646986035,0.0,0.0
-192.62292474622632,100,1001.969262,0.0,-192.62292474622632,0.0,0.0
-180.9580793861494,100,1003.078872,0.0,-180.9580793861494,0.0,0.0
-215.81014572378496,100,1004.179775,0.0,-215.81014572378496,0.0,0.0
-193.39738675092994,100,1005.291093,0.0,-193.39738675092994,0.0,0.0
-96.3223082773503,100,1006.385083,0.0,-96.3223082773503,0.0,0.0
-166.3332752820775,100,1007.487748,0.0,-166.3332752820775,0.0,0.0
-167.86639516063715,100,1008.580356,0.0,-167.86639516063715,0.0,0.0
-164.94779959401785,100,1009.682893,0.0,-162.94779959401785,-2.0,0.0
-191.75901796842209,100,1010.781826,0.0,-191.75901796842209,0.0,0.0
-124.44717467090527,100,1040.33929,0.0,-120.44717467090527,-2.0,-2.0
-180.56557384674775,100,1041.431605,0.0,-180.56557384674775,0.0,0.0
-194.97257896099504,100,1042.526923,0.0,-192.97257896099504,0.0,-2.0
-158.51526607960824,100,1043.623964,0.0,-158.51526607960824,0.0,0.0
-169.39057486818237,100,1044.717957,0.0,-169.39057486818237,0.0,0.0
-168.53206595482774,100,1045.82709,0.0,-166.53206595482774,0.0,-2.0
-127.13657133720042,100,1046.940371,0.0,-127.13657133720042,0.0,0.0
-146.08271492932386,100,1048.032973,0.0,-146.08271492932386,0.0,0.0
-211.40826573621962,100,1049.134308,0.0,-207.40826573621962,-4.0,0.0
-127.72434455218071,100,1050.2428,0.0,-127.72434455218071,0.0,0.0
-146.6862801679986,100,1080.057709,0.0,-144.6862801679986,-1.0,-1.0
-204.01647062675343,100,1081.173059,0.0,-204.01647062675343,0.0,0.0
-114.85588768570992,100,1082.288796,0.0,-114.85588768570992,0.0,0.0
-195.30493893410684,100,1083.378114,0.0,-195.30493893410684,0.0,0.0
-172.98133159073834,100,1084.501726,0.0,-170.98133159073834,-2.0,0.0
-90.84184089160763,100,1085.637737,0.0,-90.84184089160763,0.0,0.0
-208.85419421259715,100,1086.744351,0.0,-208.85419421259715,0.0,0.0
-133.10631044280072,100,1087.847338,0.0,-133.10631044280072,0.0,0.0
-152.51051971648332,100,1088.945293,0.0,-152.51051971648332,0.0,0.0
